Date,location,pm2.5
2020-02-08,Hopeland,1.5833333333333300
2020-02-08,Lytton,4.5125
2020-02-08,Miles Airport,2.5500000000000000
2020-02-08,Mount Coot-tha,4.470833333333330
2020-02-08,Rocklea,9.335000000000000
2020-02-08,South Brisbane,8.233333333333330
2020-02-08,South Gladstone,3.4250000000000000
2020-02-08,Southport,4.741666666666670
2020-02-08,Springwood,6.216666666666670
2020-02-08,Tara Region,3.1333333333333300
2020-02-08,Woolloongabba,8.975
2020-02-08,Wynnum North,4.521739130434780
2020-02-08,Wynnum West,3.7875
2020-02-09,Brisbane City,9.625
2020-02-09,Cannon Hill,8.604166666666670
2020-02-09,Hopeland,13.800000000000000
2020-02-09,Lytton,5.1500000000000000
2020-02-09,Miles Airport,14.829166666666700
2020-02-09,Mount Coot-tha,10.208333333333300
2020-02-09,Rocklea,6.970833333333330
2020-02-09,South Brisbane,9.241666666666670
2020-02-09,South Gladstone,7.041666666666670
2020-02-09,Southport,5.395833333333330
2020-02-09,Springwood,6.691666666666670
2020-02-09,Tara Region,15.945833333333300
2020-02-09,Woolloongabba,9.762500000000000
2020-02-09,Wynnum North,3.8708333333333300
2020-02-09,Wynnum West,3.6333333333333300
2020-02-10,Brisbane City,8.145833333333330
2020-02-10,Cannon Hill,7.516666666666670
2020-02-10,Hopeland,2.954166666666670
2020-02-10,Lytton,6.5250000000000000
2020-02-10,Miles Airport,4.633333333333330
2020-02-10,Mount Coot-tha,7.254166666666670
2020-02-10,Rocklea,6.1125
2020-02-10,South Brisbane,8.183333333333330
2020-02-10,South Gladstone,12.362500000000000
2020-02-10,Southport,4.4125000000000000
2020-02-10,Springwood,4.279166666666670
2020-02-10,Tara Region,3.7708333333333300
2020-02-10,Woolloongabba,7.658333333333330
2020-02-10,Wynnum North,5.229166666666670
2020-02-10,Wynnum West,4.833333333333330
2020-02-11,Brisbane City,5.45
2020-02-11,Cannon Hill,4.858333333333330
2020-02-11,Hopeland,3.295833333333330
2020-02-11,Lytton,3.8041666666666700
2020-02-11,Mount Coot-tha,5.0875000000000000
2020-02-11,Rocklea,4.233333333333330
2020-02-11,South Brisbane,6.895833333333330
2020-02-11,South Gladstone,16.675
2020-02-11,Southport,4.1375
2020-02-11,Springwood,3.3791666666666700
2020-02-11,Tara Region,4.179166666666670
2020-02-11,Woolloongabba,5.25
2020-02-11,Wynnum North,0.6125000000000000
2020-02-11,Wynnum West,2.433333333333330
2020-02-12,Brisbane City,12.25
2020-02-12,Cannon Hill,5.4375
2020-02-12,Hopeland,9.130000000000000
2020-02-12,Lytton,6.0875000000000000
2020-02-12,Miles Airport,10.683333333333300
2020-02-12,Mount Coot-tha,13.416666666666700
2020-02-12,Rocklea,11.791666666666700
2020-02-12,South Brisbane,11.025
2020-02-12,South Gladstone,3.904166666666670
2020-02-12,Southport,13.762500000000000
2020-02-12,Springwood,8.725
2020-02-12,Tara Region,12.945833333333300
2020-02-12,Woolloongabba,10.30909090909090
2020-02-12,Wynnum North,6.279166666666670
2020-02-12,Wynnum West,5.4125000000000000
2020-03-01,Cannon Hill,7.5875000000000000
2020-03-01,Collingwood Park,7.866666666666670
2020-03-01,Fisherman Island,8.445833333333330
2020-03-01,Hopeland,7.3875
2020-03-01,Lytton,5.045833333333330
2020-03-01,Miles Airport,11.629166666666700
2020-03-01,Rocklea,6.983333333333330
2020-03-01,South Brisbane,7.395833333333330
2020-03-01,South Gladstone,7.720833333333330
2020-03-01,Southport,10.1
2020-03-01,Springwood,2.875
2020-03-01,Tara Region,8.887500000000000
2020-03-01,Woolloongabba,8.3125
2020-03-01,Wynnum North,3.965217391304350
2020-03-01,Wynnum West,4.575
2020-03-02,Brisbane City,6.754166666666670
2020-03-02,Cannon Hill,6.608695652173910
2020-03-02,Collingwood Park,6.066666666666670
2020-03-02,Fisherman Island,7.329166666666670
2020-03-02,Hopeland,6.454166666666670
2020-03-02,Lytton,3.4625
2020-03-02,Miles Airport,7.483333333333330
2020-03-02,Rocklea,5.7176470588235300
2020-03-02,South Brisbane,6.990909090909090
2020-03-02,South Gladstone,5.3
2020-03-02,Southport,6.110526315789470
2020-03-02,Tara Region,8.058333333333330
2020-03-02,Woolloongabba,6.579166666666670
2020-03-02,Wynnum North,7.93157894736842
2020-03-02,Wynnum West,4.1500000000000000
2020-03-03,Brisbane City,5.45
2020-03-03,Fisherman Island,6.0250000000000000
2020-03-03,Hopeland,4.345833333333330
2020-03-03,Miles Airport,5.0625
2020-03-03,Mount Coot-tha,5.4125000000000000
2020-03-03,Rocklea,6.520833333333330
2020-03-03,South Brisbane,5.741666666666670
2020-03-03,South Gladstone,3.0500000000000000
2020-03-03,Southport,7.091666666666670
2020-03-03,Springwood,3.9500000000000000
2020-03-03,Tara Region,5.395833333333330
2020-03-03,Woolloongabba,5.441666666666670
2020-03-03,Wynnum North,4.021052631578950
2020-03-03,Wynnum West,2.4625
2020-03-04,Brisbane City,4.254166666666670
2020-03-04,Cannon Hill,3.4130434782608700
2020-03-04,Fisherman Island,13.19090909090910
2020-03-04,Hopeland,3.2541666666666700
2020-03-04,Lytton,3.140909090909090
2020-03-04,Miles Airport,4.095833333333330
2020-03-04,Mount Coot-tha,4.183333333333330
2020-03-04,Rocklea,5.733333333333330
2020-03-04,South Brisbane,4.191666666666670
2020-03-04,South Gladstone,1.6875
2020-03-04,Southport,22.766666666666700
2020-03-04,Springwood,2.275
2020-03-04,Tara Region,4.108333333333330
2020-03-04,Woolloongabba,4.333333333333330
2020-03-04,Wynnum North,4.678571428571430
2020-03-04,Wynnum West,3.022222222222220
2020-03-05,Brisbane City,3.0
2020-03-05,Cannon Hill,7.595833333333330
2020-03-05,Fisherman Island,4.354166666666670
2020-03-05,Hopeland,1.6291666666666700
2020-03-05,Lytton,4.6761904761904800
2020-03-05,Miles Airport,2.2708333333333300
2020-03-05,Mount Coot-tha,2.658333333333330
2020-03-05,Rocklea,4.354166666666670
2020-03-05,South Brisbane,3.8541666666666700
2020-03-05,South Gladstone,2.15
2020-03-05,Southport,2.4791666666666700
2020-03-05,Springwood,4.6875
2020-03-05,Tara Region,2.875
2020-03-05,Woolloongabba,3.6
2020-03-05,Wynnum North,4.825
2020-03-05,Wynnum West,2.6
2020-03-06,Brisbane City,5.991666666666670
2020-03-06,Cannon Hill,3.4458333333333300
2020-03-06,Hopeland,1.05
2020-03-06,Lytton,6.504166666666670
2020-03-06,Miles Airport,2.1166666666666700
2020-03-06,Mount Coot-tha,4.304166666666670
2020-03-06,Rocklea,7.5285714285714300
2020-03-06,South Brisbane,5.154166666666670
2020-03-06,South Gladstone,4.416666666666670
2020-03-06,Southport,2.7083333333333300
2020-03-06,Springwood,12.183333333333300
2020-03-06,Tara Region,3.0
2020-03-06,Woolloongabba,6.220833333333330
2020-03-06,Wynnum North,4.933333333333330
2020-03-06,Wynnum West,3.1166666666666700
2020-03-07,Brisbane City,10.908333333333300
2020-03-07,Cannon Hill,10.591666666666700
2020-03-07,Hopeland,2.0625
2020-03-07,Lytton,7.4875
2020-03-07,Miles Airport,2.283333333333330
2020-03-07,Mount Coot-tha,7.691666666666670
2020-03-07,Rocklea,9.017391304347830
2020-03-07,South Brisbane,11.125
2020-03-07,South Gladstone,3.7416666666666700
2020-03-07,Southport,8.5
2020-03-07,Springwood,9.775
2020-03-07,Tara Region,2.466666666666670
2020-03-07,Woolloongabba,12.016666666666700
2020-03-07,Wynnum North,5.422727272727270
2020-03-07,Wynnum West,5.716666666666670
2020-03-08,Brisbane City,6.033333333333330
2020-03-08,Cannon Hill,6.833333333333330
2020-03-08,Hopeland,1.7208333333333300
2020-03-08,Lytton,4.420833333333330
2020-03-08,Miles Airport,4.175
2020-03-08,Mount Coot-tha,4.270833333333330
2020-03-08,Rocklea,6.7
2020-03-08,South Brisbane,6.491666666666670
2020-03-08,South Gladstone,5.1875
2020-03-08,Southport,3.345833333333330
2020-03-08,Springwood,6.166666666666670
2020-03-08,Tara Region,3.1625
2020-03-08,Woolloongabba,7.2125000000000000
2020-03-08,Wynnum North,4.027272727272730
2020-03-08,Wynnum West,2.220833333333330
2020-03-09,Brisbane City,11.1
2020-03-09,Cannon Hill,7.345833333333330
2020-03-09,Hopeland,5.2
2020-03-09,Lytton,4.6375
2020-03-09,Miles Airport,7.770833333333330
2020-03-09,Mount Coot-tha,11.225
2020-03-09,Rocklea,9.404166666666670
2020-03-09,South Brisbane,10.454166666666700
2020-03-09,South Gladstone,7.554166666666670
2020-03-09,Southport,5.979166666666670
2020-03-09,Springwood,4.7125000000000000
2020-03-09,Tara Region,8.108333333333330
2020-03-09,Woolloongabba,10.85909090909090
2020-03-09,Wynnum North,3.073913043478260
2020-03-09,Wynnum West,3.420833333333330
2020-03-10,Brisbane City,6.6625000000000000
2020-03-10,Cannon Hill,4.983333333333330
2020-03-10,Hopeland,4.458333333333330
2020-03-10,Lytton,2.3041666666666700
2020-03-10,Miles Airport,6.070833333333330
2020-03-10,Mount Coot-tha,6.658333333333330
2020-03-10,Rocklea,4.125
2020-03-10,South Brisbane,7.3625
2020-03-10,South Gladstone,7.783333333333330
2020-03-10,Southport,3.5875
2020-03-10,Springwood,3.5375
2020-03-10,Tara Region,6.545833333333330
2020-03-10,Woolloongabba,6.295833333333330
2020-03-10,Wynnum North,-0.1416666666666670
2020-03-10,Wynnum West,2.375
2020-03-11,Brisbane City,7.308333333333330
2020-03-11,Cannon Hill,6.316666666666670
2020-03-11,Hopeland,4.2250000000000000
2020-03-11,Lytton,5.873333333333330
2020-03-11,Miles Airport,7.761538461538460
2020-03-11,Mount Coot-tha,7.425
2020-03-11,Rocklea,4.1375
2020-03-11,South Brisbane,8.225
2020-03-11,South Gladstone,11.879166666666700
2020-03-11,Southport,4.4875
2020-03-11,Springwood,4.3
2020-03-11,Tara Region,5.3
2020-03-11,Woolloongabba,6.966666666666670
2020-03-11,Wynnum North,2.2125
2020-03-11,Wynnum West,2.1666666666666700
2020-03-12,Brisbane City,6.0
2020-03-12,Cannon Hill,3.358333333333330
2020-03-12,Hopeland,9.083333333333330
2020-03-12,Lytton,1.7041666666666700
2020-03-12,Miles Airport,11.912500000000000
2020-03-12,Mount Coot-tha,5.5125
2020-03-12,Rocklea,6.766666666666670
2020-03-12,South Brisbane,6.709090909090910
2020-03-12,South Gladstone,5.0875000000000000
2020-03-12,Southport,5.2375
2020-03-12,Springwood,3.608333333333330
2020-03-12,Tara Region,11.941666666666700
2020-03-12,Woolloongabba,6.075
2020-03-12,Wynnum North,2.425
2020-03-12,Wynnum West,1.1833333333333300
2020-04-01,Cannon Hill,7.3125
2020-04-01,Collingwood Park,7.933333333333330
2020-04-01,Fisherman Island,7.454166666666670
2020-04-01,Hopeland,13.675000000000000
2020-04-01,Lytton,4.8375000000000000
2020-04-01,Miles Airport,16.008333333333300
2020-04-01,Rocklea,6.970833333333330
2020-04-01,South Brisbane,6.441666666666670
2020-04-01,South Gladstone,7.245833333333330
2020-04-01,Southport,8.2875
2020-04-01,Springwood,3.6916666666666700
2020-04-01,Tara Region,14.645833333333300
2020-04-01,Woolloongabba,7.2750000000000000
2020-04-01,Wynnum North,3.630434782608700
2020-04-01,Wynnum West,3.8166666666666700
2020-04-02,Brisbane City,8.762500000000000
2020-04-02,Cannon Hill,9.307692307692310
2020-04-02,Collingwood Park,5.5
2020-04-02,Fisherman Island,10.475
2020-04-02,Hopeland,7.620833333333330
2020-04-02,Lytton,11.042857142857100
2020-04-02,Miles Airport,8.104166666666670
2020-04-02,South Brisbane,8.804166666666670
2020-04-02,South Gladstone,7.2750000000000000
2020-04-02,Southport,6.459090909090910
2020-04-02,Tara Region,10.216666666666700
2020-04-02,Woolloongabba,8.5
2020-04-02,Wynnum North,4.368421052631580
2020-04-02,Wynnum West,5.714285714285710
2020-04-03,Brisbane City,5.504166666666670
2020-04-03,Cannon Hill,4.291666666666670
2020-04-03,Fisherman Island,7.0250000000000000
2020-04-03,Hopeland,4.0
2020-04-03,Miles Airport,4.879166666666670
2020-04-03,Mount Coot-tha,6.0125
2020-04-03,Rocklea,5.4625000000000000
2020-04-03,South Brisbane,5.745833333333330
2020-04-03,South Gladstone,4.1625000000000000
2020-04-03,Southport,7.895833333333330
2020-04-03,Springwood,3.0875
2020-04-03,Tara Region,4.658333333333330
